text,aspect,label,label_id,gold_label
avva markasinin kendi seviyesine cikmasi lazi artik kalite ve arge zayif reklamdan kisip kaliteye verme zamani geldi,fabric_quailty,negative,0,negative
çok ince transparan gibi,fabric_quailty,negative,0,negative
ürün slimfit falan değil boşu boşuna hafta iadeyle uğraştık kumaşı çok güzel ama beden bildigin oversize,fabric_quailty,negative,0,positive
cok ince gömlek üstü ancak kullanılır güneşli bi yere tuttuğunuzda ne kadar ince olduğunu daha iyi anlıyorsunuz icine beyaz atlet giyin direk beyazi belli oluyor ic gösteriyor resmen alinmaz iade,fabric_quailty,negative,0,negative
kumaş güzel kalıp güzel peki bunca güzelliğin yanına bu defo yakışıyor mu,fabric_quailty,negative,0,positive
çok ince penyesi,fabric_quailty,negative,0,negative
cook kotu kalite avva diye aldik ama berbat,fabric_quailty,negative,0,negative
bu kadar övgüyü nasıl almış anlamadım pazardan alınan şalvarlar gibi kalitesi var ilk giymem de nasıl oldugunun görselini yükledim satıcıya da mesaj attım ama herhangi bir dönüş yapmadı paranızı daha kaliteli kumaşları olan taytlardan yana kullanın derim,fabric_quailty,negative,0,negative
cok ince ve kalitesiz insanlar görerek satın alıyor bu kadar yanıltıcı bilgi hoş degil,fabric_quailty,negative,0,negative
duruşu çok güzel ancak kere giydim ikisindede çıkardığımda vücudum alerji oldu yıkadığım halde kumaşı polyester asla önermiyorum,fabric_quailty,negative,0,negative
altınyıldız ürünü diye güvendim ama ürün resmen poşet çıktı kumaş kalitesi gerçekten çok kötü poşet giymek isteyen alsın,fabric_quailty,negative,0,negative
i ç göstermeyi geçtim baya transparan aşırı ince aynı markanın aynı tişörtü var ama arada dağlar kadar kalite farkı var,fabric_quailty,negative,0,negative
boy kilo s beden giyiniyorum yorumlara bakarak xs aldım ve eşofman formunda tam oldu fakat duruşunu ve kalitesini beğenmemekle birlikte yan dikişleri kaçmıştı,fabric_quailty,negative,0,negative
xl aldım hala küçük nasıl bir rahat kesim anlamadım kumaşı vasat bence aynı kaliteyi daha ucuza alabilirsiniz,fabric_quailty,negative,0,negative
kesinlikle influencer abartması bir ürün asla kaliteli değil çok ince ve tuhaf bir kalıbı var nesini öve öve bitiremediler bilmiyorum,fabric_quailty,negative,0,negative
hiç güzel değil kalitesiz bende gerçekten yumoş sanmıştım yorumlara inanmayın günlük giyilir,fabric_quailty,negative,0,negative
kumaşı çok ince beğenmedim,fabric_quailty,negative,0,negative
kalitesiz daha önceki eşofman altlarına bakıyorum bunun kumaşı çok kalitesiz biraz daha fiyat farkı vererek daha iyi birşey alın bence ben kalite ve bedenine bakmak ve incelemek için almıştım i yi çıksaydı kendim için birkaç tane daha alıp tavsiye edecektim ama şu an almamanız yönünde tavsiyede bulunabiliyorum,fabric_quailty,negative,0,negative
